07037 185,331 3,53856 1.181667 49.383
61998 257,364 9,09764 70.243333 -49.352333
61980 129,231 5,20392 55.528667 -20.8925
07299 211,989 2,17917 7.51 47.614333
07747 231,849 4,07616 2.872833 42.737167
61970 181,777 3,86995 42.712 -17.054667
81401 82,1276 1,08291 -54.031667 5.4855
89642 130,389 8,30072 140.001 -66.663167
07005 187,119 3,46986 1.834 50.136
07558 203,026 4,16753 3.0195 44.1185
07110 192,978 4,19568 -4.412 48.444167
81408 111,867 0,977495 -51.804667 3.890667
07535 196,092 1,74868 1.396667 44.745
07690 229,872 3,4675 7.209 43.648833
07607 181,015 1,99201 -0.500167 43.909833
78894 90,1236 4,59248 -62.852167 17.9015
07314 192,507 5,04231 -1.4115 46.046833
67005 185,126 3,34446 45.282833 -12.8055
07481 206 3,0228 5.077833 45.7265
07761 123,913 2,69732 8.792667 41.918
78890 92,9336 7,02544 -61.004 16.335
07207 193,935 5,72485 -3.218333 47.294333
07471 200,169 2,22122 3.764 45.0745
07181 183,951 3,13613 5.959833 48.581
07335 187,639 3,20018 0.314333 46.593833
07240 182,528 3,00162 0.727333 47.4445
07643 192,893 3,74038 3.963167 43.577
07027 196,829 3,77771 -0.456167 49.18
07168 196,989 3,04586 4.02 48.324667
07627 186,324 1,61721 1.106833 43.005333
78897 103,296 3,02069 -61.516333 16.264
61976 124,967 6,19554 54.520667 -15.887667
71805 203,269 6,69575 -56.179167 46.766333
07630 219,472 3,42818 1.378833 43.621
07460 173,862 2,35656 3.149333 45.786833
07190 189,498 2,42531 7.640333 48.5495
07434 172,327 2,98325 1.175 45.861167
07790 186,108 2,37097 9.485167 42.540667
07577 99,2617 3,21305 4.733 44.581167
61996 238,763 6,59345 77.569167 -37.795167
78922 109,544 6,43696 -60.875333 14.7745
61972 162,115 4,10649 40.340667 -22.344167
07015 184,461 3,73301 3.0975 50.57
07117 189,943 4,58071 -3.473167 48.825833
07621 195,735 2,28812 0.0 43.188
07149 183,966 3,09201 2.384333 48.716833
07072 187,034 2,64422 4.155333 49.209667
07661 196,035 5,58419 5.940833 43.079333
07591 135,305 2,45611 6.502333 44.565667
07222 179,723 2,98405 -1.608833 47.15
07139 167,298 2,79061 0.110167 48.4455
81415 84,2994 0,930073 -54.028333 3.640167
61968 124,08 2,18226 47.289667 -11.582667
07280 192,269 2,67895 5.088333 47.267833
07510 188,247 2,86851 -0.691333 44.830667
07650 212,358 4,25461 5.216 43.437667
07130 198,423 3,06915 -1.734 48.068833
81405 89,1446 2,04583 -52.365333 4.822333
07020 187,887 6,30728 -1.939833 49.725167
61997 255,831 9,99531 51.856667 -46.4325
07255 182,326 2,65675 2.359833 47.059167
78925 85,1513 4,0044 -60.995667 14.595333
